"Bluetooth (блютуз) гарнитуры"			
"Bluetooth (блютуз) гарнитура Jabra BT2045, multipoint, черный"			"http://1234567.by/a00000001157"
"Bluetooth (блютуз) гарнитура Jabra BT2045, multipoint, черный"			"http://1234567.by/a00000001157"
"Bluetooth (блютуз) гарнитура Jabra BT2046, multipoint, черный"			"http://1234567.by/a000001175"
"Bluetooth (блютуз) гарнитура Nokia BH-108, черный"			"http://1234567.by/a000000591"
"Bluetooth (блютуз) гарнитура Nokia BH-110, multipoint, черный"			"http://1234567.by/a000000433"
"Bluetooth (блютуз) гарнитура Plantronics ML10, черный"			"http://1234567.by/a00000001151"
"GPS навигаторы navigators"			
"GPS навигатор Prestigio Geovision 5050 5"", 4Gb, Navitel Беларусь, черный"			"http://1234567.by/a000001725"
"GPS навигатор Roadmax Diamond 5.0"" (version I), 2Gb, Navitel, Беларусь, Россия, Украина"			"http://1234567.by/a00000000050"
"GPS навигатор Roadmax Uno 5.0"", 4Gb, черный"			"http://1234567.by/a000002087"
"GPS навигатор Roadmax Vigilant 5 + DVR, 5.0"", 4Gb, с видеорегистратором, 1Мп, черный"			"http://1234567.by/a000000192"
"MP-3, MP-4 flash плеера"			
"Atomic"			
"MP-3 flash плеер Atomic F10 4Gb, красный"			"http://1234567.by/a00000000216"
"MP-3 flash плеер Atomic F10 4Gb, черный"			"http://1234567.by/a00000000218"
"MP-3 flash плеер Atomic F20 4Gb black"			"http://1234567.by/a00000000874"
"MP-3 flash плеер Atomic F30 4Gb, белый"			"http://1234567.by/a00000001232"
"MP-3 flash плеер Atomic F30 4Gb, розовый"			"http://1234567.by/a00000001230"
"MP-3 flash плеер Atomic F30 4Gb, черный"			"http://1234567.by/a00000001231"
"MP-3 flash плеер Atomic S150 4Gb, черный с зеленым"			"http://1234567.by/a00000001235"
"MP-3 flash плеер Atomic S150 4Gb, черный с красным"			"http://1234567.by/a000000372"
"MP-3 flash плеер Atomic S150 4Gb, черный с оранжевым"			"http://1234567.by/a00000001236"
"LongLife"			
"MP-3 flash плеер LongLife shuffle, бирюзовый"			"http://1234567.by/a000000947"
"MP-3 flash плеер LongLife shuffle, красный"			"http://1234567.by/a000000948"
"MP-3 flash плеер LongLife shuffle, оранжевый"			"http://1234567.by/a000003207"
"MP-3 flash плеер LongLife shuffle, розовый"			"http://1234567.by/a000001014"
"MP-3 flash плеер LongLife shuffle, салатовый"			"http://1234567.by/a000000949"
"MP-3 flash плеер LongLife shuffle, серебристый"			"http://1234567.by/a000001011"
"MP-3 flash плеер LongLife shuffle, серый"			"http://1234567.by/a000000946"
"MP-3 flash плеер LongLife shuffle, фиолетовый"			"http://1234567.by/a000001012"
"MP-3 flash плеер LongLife shuffle, черный"			"http://1234567.by/a000001013"
"Texet"			
"MP-3 flash плеер Texet T-1 4Gb, белый"			"http://1234567.by/a000003518"
"MP-3 flash плеер Texet T-1 4Gb, черный"			"http://1234567.by/a000003519"
"MP-3 flash плеер Texet T-129 4Gb, черный"			"http://1234567.by/a000003521"
"MP-3 flash плеер Texet T-169 4Gb, черный"			"http://1234567.by/a000003522"
"MP-3 flash плеер Texet T-179 4Gb, серебристый"			"http://1234567.by/a000003520"
"MP-3 flash плеер Texet T-269 4Gb, серый"			"http://1234567.by/a000003523"
"MP-3 flash плеер Texet T-479 4Gb, белый"			"http://1234567.by/a000003524"
"MP-3 flash плеер Texet T-479 4Gb, черный"			"http://1234567.by/a000003525"
"MP-3 flash плеер Texet T-795 4Gb, зеленый"			"http://1234567.by/a000003528"
"MP-3 flash плеер Texet T-795 4Gb, оранжевый"			"http://1234567.by/a000003527"
"MP-3 flash плеер Texet T-795 4Gb, фиолетовый"			"http://1234567.by/a000003526"
"MP3 FM модуляторы"			
"Atomic"			
"MP3 FM Modulator (модулятор) Atomic T665C, пульт, SD, USB, Line, черный с серебристым"			"http://1234567.by/a000001092"
"MP3 FM Modulator (модулятор) Atomic T73M, пульт, SD, USB, Line, черный с красным"			"http://1234567.by/a000002378"
"MP3 FM Modulator (модулятор) Atomic T853N, пульт, SD, USB, черный "			"http://1234567.by/a00000000872"
